Timestamp,10.06.2023:14:26:59
Scans in Average,1
Termination,10000
V_RMS(V),0.00100654757868641
V_DC (V),0.00100528204441071
RMS_Noise %,8.0437879143803
Frequency (Hz), Mag^2 (V^2 / Hz), PSD (dBV^2 / Hz), RIN (dBc / Hz), Integrated Volts RMS, Integrated RIN (%RMS) 
0,1.4383924814562E-11,-108.421226501465,-48.477912902832,0,0
5.960464,5.66343544051051E-12,-112.469200134277,-52.5258865356445,7.72954004675531E-06,0.767925949098473
11.92093,1.09482740905757E-12,-119.606544494629,-59.6632308959961,8.93795178756046E-06,0.887981052939882
17.88139,1.84658080494652E-12,-117.336318969727,-57.3930015563965,9.41557548658136E-06,0.93543272925748
23.84186,9.89178370218724E-13,-120.047256469727,-60.1039390563965,9.85415052953454E-06,0.979004941067431
29.80232,3.02202388411388E-13,-125.197021484375,-65.2537078857422,1.00475318973428E-05,0.998217283524275
35.76279,2.94260462396778E-13,-125.312683105469,-65.3693695068359,1.01356053122312E-05,1.00696733337321
41.72325,2.0131087997773E-13,-126.961326599121,-67.0180130004883,1.02082032080324E-05,1.01417989811814
47.68372,4.26353957057775E-14,-133.702301025391,-73.7589797973633,1.02437507433461E-05,1.0177115280248
53.64418,4.75025626656134E-14,-133.232833862305,-73.2895126342773,1.02568543589776E-05,1.01901336570332
59.60464,1.03678939922247E-13,-129.84309387207,-69.8997802734375,1.02787945465019E-05,1.02119311239278
65.56511,5.73568589364489E-14,-132.414138793945,-72.470832824707,1.03021134437819E-05,1.02350983320894
71.52557,7.6873639045516E-14,-131.142227172852,-71.1989135742188,1.03215105224993E-05,1.02543692330663
77.48604,8.60065180556073E-14,-130.654693603516,-70.7113723754883,1.03449987994833E-05,1.02777047191192
83.4465,1.86124604321473E-14,-137.301956176758,-77.3586502075195,1.03600573846764E-05,1.02926653484148
89.40697,3.84182142928087E-14,-134.154632568359,-74.211311340332,1.03682570217565E-05,1.03008116469641
95.36743,2.06355087091955E-16,-156.853851318359,-96.9105377197266,1.03738066232255E-05,1.03063251483489
101.3279,3.3114652827256E-15,-144.7998046875,-84.8564834594727,1.03743119182794E-05,1.03068271564652
107.2884,7.55638150925127E-14,-131.216857910156,-71.2735443115234,1.03856350037525E-05,1.03180765854171
