Timestamp,10.04.2023:13:04:14,,,,
Scans in Average,6,,,,
Termination,10000,,,,
V_RMS(V),0.553909913,,,,
V_DC (V),0.546626599,,,,
RMS_Noise %,18.40850752,,,,
Frequency (Hz), Mag^2 (V^2 / Hz), PSD (dBV^2 / Hz), RIN (dBc / Hz), Integrated Volts RMS, Integrated RIN (%RMS) 
0,0.000275751,-35.59482193,-30.29318047,0,0
5.960464,6.90E-05,-41.61352921,-36.31188965,0.032052204,5.901194432
11.92093,1.78E-09,-87.49111938,-82.18948364,0.035112525,6.464636143
17.88139,2.80E-10,-95.53074646,-90.22910309,0.035112612,6.464652252
23.84186,2.83E-10,-95.48406982,-90.18243408,0.035112636,6.464656649
29.80232,3.34E-10,-94.7625885,-89.46094513,0.035112662,6.464661469
35.76279,1.80E-10,-97.45846558,-92.15682983,0.035112684,6.464665481
41.72325,1.55E-10,-98.09341431,-92.79177094,0.035112698,6.464668096
47.68372,9.29E-11,-100.3188858,-95.01724243,0.035112709,6.464670034
53.64418,2.43E-10,-96.15005493,-90.84841919,0.035112723,6.464672656
59.60464,7.09E-10,-91.49115753,-86.18951416,0.035112764,6.464680094
65.56511,2.78E-10,-95.55278778,-90.25114441,0.035112805,6.464687813
71.52557,1.27E-10,-98.94810486,-93.64646149,0.035112823,6.464690984
77.48604,1.65E-10,-97.82707214,-92.5254364,0.035112835,6.464693268
83.4465,3.49E-10,-94.56567383,-89.26403046,0.035112857,6.464697287
89.40697,1.00E-09,-89.99665833,-84.69501495,0.035112914,6.464707837
95.36743,3.57E-09,-84.46833038,-79.16669464,0.035113108,6.464743582
101.3279,2.01E-08,-76.97026062,-71.66861725,0.035114113,6.464928471
107.2884,2.67E-07,-65.73921204,-60.43757248,0.035126282,6.467169051
113.2488,0.000161307,-37.92346954,-32.62182999,0.04141718,7.625398587
119.2093,0.000958073,-30.18601227,-24.88437271,0.071073173,13.085422
125.1698,0.000347015,-34.59651184,-29.29487228,0.094556138,17.4089169
131.1302,6.78E-07,-61.68984222,-56.38820267,0.099885279,18.39007565
137.0907,3.49E-08,-74.56617737,-69.26454163,0.09989591,18.39203282
143.0511,5.36E-09,-82.7102356,-77.40859222,0.099896511,18.39214351
149.0116,1.33E-09,-88.74647522,-83.44483948,0.099896611,18.39216189
154.9721,4.39E-10,-93.57096863,-88.26933289,0.099896637,18.39216676
160.9325,1.65E-10,-97.82445526,-92.52281952,0.099896646,18.39216842
166.893,1.11E-10,-99.55818939,-94.25654602,0.09989665,18.39216918
172.8535,3.90E-11,-104.0903091,-98.78866577,0.099896653,18.39216959
178.8139,8.38E-11,-100.769577,-95.46793365,0.099896654,18.39216992
184.7744,2.60E-11,-105.8521423,-100.5505066,0.099896656,18.39217022
190.7349,2.50E-11,-106.0204849,-100.7188416,0.099896657,18.39217036
196.6953,1.46E-11,-108.3457794,-103.044136,0.099896657,18.39217047
202.6558,2.73E-11,-105.6356583,-100.3340149,0.099896658,18.39217059
208.6163,2.92E-11,-105.3465576,-100.0449142,0.099896659,18.39217074
214.5767,1.15E-10,-99.37597656,-94.07433319,0.099896661,18.39217114
220.5372,1.02E-10,-99.89646912,-94.59482574,0.099896664,18.39217174
226.4977,1.10E-09,-89.60007477,-84.2984314,0.099896682,18.39217503
232.4581,1.80E-07,-67.44139862,-62.13975525,0.099899387,18.39267304
238.4186,1.64E-06,-57.84893036,-52.5472908,0.099926549,18.39767393
244.379,8.46E-07,-60.72411728,-55.42247391,0.099963635,18.40450187
250.3395,7.17E-09,-81.44681549,-76.14517212,0.099976358,18.40684438
256.3,2.91E-10,-95.35797882,-90.05633545,0.09997647,18.40686485
262.2604,6.84E-11,-101.6510696,-96.34942627,0.099976475,18.40686584
268.2209,4.63E-11,-103.3467407,-98.04509735,0.099976477,18.40686615
274.1814,1.21E-11,-109.1884232,-103.8867874,0.099976477,18.40686631
280.1418,8.04E-12,-110.9489594,-105.647316,0.099976478,18.40686637
286.1023,5.86E-12,-112.320816,-107.0191727,0.099976478,18.4068664
292.0627,6.10E-12,-112.147934,-106.8462906,0.099976478,18.40686644
298.0232,1.56E-11,-108.0806046,-102.7789688,0.099976478,18.4068665
