Timestamp,10.06.2023:14:27:45
Scans in Average,1
Termination,10000
V_RMS(V),0.191456494671134
V_DC (V),0.19144172668457
RMS_Noise %,1.61809803733524
Frequency (Hz), Mag^2 (V^2 / Hz), PSD (dBV^2 / Hz), RIN (dBc / Hz), Integrated Volts RMS, Integrated RIN (%RMS) 
0,4.48804016113281E-07,-63.4794311523438,-49.1208343505859,0,0
5.960464,1.58850936889648E-07,-67.990104675293,-53.6315040588379,0.00134571649354064,0.702883699950836
11.92093,8.31319491068522E-09,-80.8023223876953,-66.4437255859375,0.00151958573820123,0.793697670487197
17.88139,5.39419651031494E-10,-92.6807327270508,-78.322135925293,0.0015282420171749,0.798218947756238
23.84186,9.55153318742911E-11,-100.199272155762,-85.8406677246094,0.00152886098673633,0.798542242906133
29.80232,8.2994531840086E-12,-110.809501647949,-96.4509048461914,0.00152896216726696,0.798595090698423
35.76279,1.04900465036432E-11,-109.79222869873,-95.4336242675781,0.00152898047927578,0.798604655278017
41.72325,2.80674112339815E-11,-105.517974853516,-91.1593780517578,0.0015290180561998,0.798624282151515
47.68372,2.55626502136389E-11,-105.923942565918,-91.5653457641602,0.00152907032088884,0.798651580619051
53.64418,1.28527257281045E-11,-108.910049438477,-94.5514526367188,0.00152910775714628,0.798671134020731
59.60464,2.15196625019113E-11,-106.671646118164,-92.3130493164063,0.00152914125268546,0.798688629138479
65.56511,1.19877816177905E-11,-109.212608337402,-94.8540115356445,0.00152917390463926,0.798705683641566
71.52557,7.88651096324126E-12,-111.031150817871,-96.6725540161133,0.00152919327118489,0.798715799018255
77.48604,1.89524811382095E-11,-107.223342895508,-92.8647384643555,0.00152921942410717,0.79872945900003
83.4465,5.41269779205322E-12,-112.665863037109,-98.3072662353516,0.00152924316606562,0.798741859706779
89.40697,8.98675255787869E-13,-120.463973999023,-106.105377197266,0.00152924931594421,0.798745071861372
95.36743,3.78361158072948E-11,-104.220932006836,-89.8623352050781,0.00152928705905364,0.798764785535485
101.3279,9.235596905152E-11,-100.345352172852,-85.9867553710938,0.00152941391115599,0.798831041894438
107.2884,1.76092013716698E-10,-97.5426025390625,-83.1840057373047,0.00152967543909489,0.798967641041596
113.2488,7.39921092987061E-09,-81.3081436157227,-66.9495468139648,0.00153703712089886,0.802812734840383
119.2093,4.85101222991943E-08,-73.1416778564453,-58.7830772399902,0.00159031629192385,0.830641078358584
125.1698,1.8138386408488E-08,-77.4140167236328,-63.0554161071777,0.00165158528168393,0.86264259905148
131.1302,8.87314726909002E-11,-100.519226074219,-86.1606216430664,0.00166794933586255,0.87118973881121
137.0907,9.76224158269664E-13,-120.104507446289,-105.745903015137,0.00166802947718994,0.871231597577884
143.0511,2.47485062573105E-12,-116.064506530762,-101.705909729004,0.00166803256016748,0.871233207853652
149.0116,6.71713380143046E-12,-111.728157043457,-97.3695602416992,0.0016680407716921,0.871237496830447
154.9721,3.04104636112849E-11,-105.169769287109,-90.8111724853516,0.00166807393867597,0.871254820339852
160.9325,2.24936023975412E-11,-106.47940826416,-92.1208114624023,0.0016681211980228,0.871279504457734
166.893,1.12548563629389E-11,-109.486602783203,-95.1280059814453,0.00166815134491384,0.871295250536802
172.8535,3.72922785269717E-12,-114.283813476563,-99.9252166748047,0.00166816472975204,0.87130224159669
178.8139,2.52952488760153E-12,-115.969612121582,-101.611015319824,0.00166817032047851,0.871305161699496
184.7744,1.93981123932948E-12,-117.122406005859,-102.763809204102,0.0016681743127698,0.871307246920629
190.7349,6.29656986954312E-12,-112.00895690918,-97.6503601074219,0.00166818166999686,0.871311089687661
196.6953,4.12756452957789E-11,-103.843063354492,-89.4844665527344,0.00166822416370307,0.871333284654871
202.6558,2.65499421705802E-11,-105.75936126709,-91.400764465332,0.00166828474678791,0.87136492791928
208.6163,5.83685065309207E-11,-102.33821105957,-87.9796142578125,0.00166836059443505,0.871404544045792
214.5767,5.50402328372002E-11,-102.593200683594,-88.2345962524414,0.00166846188372552,0.871457448644635
220.5372,4.49726435666283E-12,-113.470512390137,-99.1119155883789,0.00166851505627413,0.871485221298
226.4977,4.54866389433543E-11,-103.421157836914,-89.0625610351563,0.0016685596952622,0.871508536771393
232.4581,2.87771100799243E-11,-105.409530639648,-91.0509338378906,0.00166862601558063,0.871543176661017
238.4186,4.76199835538864E-10,-93.2221069335938,-78.8635101318359,0.00166907690908648,0.871778683691802
244.379,2.24703028798103E-10,-96.4839096069336,-82.1253128051758,0.00166970254289745,0.872105459658346
250.3395,5.48065329591433E-12,-112.611679077148,-98.2530822753906,0.00166990795632227,0.87221274952865
256.3,2.29791505262256E-12,-116.386657714844,-102.028060913086,0.00166991489740883,0.872216374940558
262.2604,1.11421686597168E-11,-109.530303955078,-95.1717071533203,0.00166992689033268,0.872222638987056
268.2209,3.53476591408253E-11,-104.516395568848,-90.1577987670898,0.00166996837370803,0.872244306246466
274.1814,3.25214179853598E-11,-104.878303527832,-90.5197067260742,0.00167002893247827,0.872275936811073
280.1418,9.56974846000473E-12,-110.190994262695,-95.8323974609375,0.00167006648882219,0.872295552935339
286.1023,5.39299100637436E-12,-112.681701660156,-98.3231048583984,0.00167007983923262,0.872302526013194
292.0627,4.41894517280161E-12,-113.546813964844,-99.1882171630859,0.00167008859381319,0.872307098634554
298.0232,3.30514400654162E-13,-124.808097839355,-110.449501037598,0.00167009283146587,0.872309312010856
303.9837,3.75065642098586E-12,-114.258926391602,-99.9003295898438,0.00167009647283673,0.872311213942083
309.9442,4.1708800320824E-12,-113.797721862793,-99.4391250610352,0.00167010354066434,0.872314905552348
315.9046,2.4050356199344E-11,-106.188781738281,-91.8301849365234,0.00167012872023754,0.872328057142345
321.8651,2.51365049431721E-11,-105.996948242188,-91.6383514404297,0.00167017260509411,0.872350978723901
327.8256,3.60400881618261E-12,-114.432144165039,-100.073547363281,0.00167019824704488,0.87236437181919
333.786,1.17329337323705E-11,-109.305931091309,-94.9473342895508,0.00167021193025478,0.872371518722159
339.7465,2.27308308240026E-12,-116.43384552002,-102.075248718262,0.00167022442595041,0.872378045372329
345.7069,1.77673824752371E-11,-107.503768920898,-93.1451644897461,0.00167024230530658,0.872387383972302
351.6674,2.78470944613218E-11,-105.552200317383,-91.193603515625,0.00167028300012859,0.872408639360939
357.6279,1.43423800667127E-11,-108.433784484863,-94.0751876831055,0.00167032063826943,0.872428298208714
363.5883,3.74306738376617E-11,-104.267723083496,-89.9091262817383,0.00167036682496934,0.872452422070371
369.5488,5.48104631404082E-11,-102.611366271973,-88.2527694702148,0.00167044911047061,0.87249540076452
375.5093,1.1556267272681E-11,-109.371826171875,-95.0132293701172,0.00167050831169676,0.87252632226773
381.4697,4.68499104802807E-12,-113.292915344238,-98.9343109130859,0.00167052279902002,0.872533889168654
387.4302,3.02727551509937E-11,-105.189483642578,-90.8308792114258,0.00167055398116349,0.872550175972361
393.3907,3.93789323667685E-11,-104.04736328125,-89.6887664794922,0.00167061610872074,0.872582625933044
399.3511,4.81987496217092E-11,-103.169639587402,-88.8110427856445,0.00167069422253644,0.872623425706297
405.3116,8.30314044530193E-12,-110.807579040527,-96.448974609375,0.00167074461649287,0.872649747067979
411.272,2.51906970515847E-11,-105.987594604492,-91.6289978027344,0.00167077448888193,0.872665349771409
417.2325,1.24964312029382E-11,-109.03214263916,-94.6735458374023,0.00167080810070481,0.872682905625514
423.193,1.52029950792591E-11,-108.180709838867,-93.8221130371094,0.00167083280441681,0.872695808667557
429.1534,4.68941521830857E-12,-113.28881072998,-98.9302139282227,0.00167085054513145,0.872705074853417
435.1139,1.56696963434418E-11,-108.049392700195,-93.6907958984375,0.00167086870187078,0.872714558333915
441.0744,1.17808626964688E-11,-109.288230895996,-94.9296340942383,0.00167089318274443,0.87272734498484
447.0349,7.27848382666707E-12,-111.379592895508,-97.02099609375,0.00167091017998161,0.872736222843599
452.9953,7.00057406599323E-12,-111.54866027832,-97.1900634765625,0.00167092291395082,0.872742873946887
458.9557,1.15194668372472E-11,-109.385673522949,-95.0270767211914,0.00167093942985602,0.872751500400239
464.9162,1.34339649230242E-11,-108.717956542969,-94.3593597412109,0.00167096168282213,0.872763123388605
470.8767,3.00444681973507E-12,-115.222351074219,-100.863754272461,0.00167097634210356,0.872770780105323
476.8372,2.17939758052429E-11,-106.616638183594,-92.2580337524414,0.00167099845623483,0.872782330578607
482.7976,2.18330478916566E-11,-106.608856201172,-92.2502593994141,0.00167103736016548,0.872802650563428
488.7581,2.6695958028237E-11,-105.735542297363,-91.3769454956055,0.00167108063454372,0.872825253284902
494.7186,1.66316066558162E-11,-107.790657043457,-93.4320602416992,0.00167111926973592,0.872845432904435
500.679,8.70148573691646E-12,-110.604064941406,-96.2454681396484,0.00167114185872657,0.872857231402412
506.6395,3.54034267365932E-11,-104.509544372559,-90.1509475708008,0.00167118118542952,0.872877772206225
512.6,7.52764195203781E-11,-101.233413696289,-86.8748092651367,0.00167127987144969,0.872929317086086
518.5604,2.65640579164028E-11,-105.757057189941,-91.3984603881836,0.00167137066990239,0.872976742195828
524.5209,2.64174987872442E-11,-105.78108215332,-91.4224853515625,0.00167141790499836,0.873001413647192
530.4813,4.85236073533694E-11,-103.140472412109,-88.781867980957,0.00167148471559805,0.873036309616535
536.4418,1.54970648388068E-11,-108.097503662109,-93.7389068603516,0.00167154178842787,0.873066119433082
542.4023,2.24793407445153E-11,-106.482162475586,-92.1235656738281,0.00167157564287055,0.873083802010388
548.3627,2.04971118364483E-12,-116.883071899414,-102.524475097656,0.00167159750894834,0.873095222922396
554.3232,4.1879341006279E-12,-113.779998779297,-99.4214019775391,0.00167160306936374,0.873098127193368
560.2837,1.83384807314724E-12,-117.366363525391,-103.007766723633,0.00167160843739001,0.873100930977215
566.2441,9.0536925320824E-12,-110.431739807129,-96.0731430053711,0.0016716181427796,0.873106000217413
572.2046,9.35093887771169E-12,-110.291450500488,-95.9328460693359,0.00167163454893867,0.873114569349054
578.165,1.50192994624376E-11,-108.233505249023,-93.8749084472656,0.00167165627267971,0.873125915916889
584.1255,9.84884798526764E-12,-110.066146850586,-95.7075500488281,0.00167167843996817,0.873137494154809
590.086,1.09418295323849E-11,-109.609100341797,-95.2505035400391,0.00167169697259333,0.873147173964932
596.0464,1.958383868138E-11,-107.081024169922,-92.7224273681641,0.00167172418225176,0.873161385892546
602.0069,2.12730296577017E-11,-106.721710205078,-92.3631057739258,0.00167176060013682,0.873180407386237
607.9674,3.04716484000285E-12,-115.161041259766,-100.802444458008,0.00167178227785622,0.873191729916426
613.9279,2.6621234913667E-12,-115.747718811035,-101.389122009277,0.00167178736671735,0.873194387889004
619.8883,3.15418680353711E-12,-115.011123657227,-100.652526855469,0.00167179255095446,0.873197095677588
625.8488,7.90908156583707E-12,-111.018737792969,-96.6601409912109,0.00167180241190503,0.873202246169133
631.8092,3.60238598659635E-12,-114.434097290039,-100.075500488281,0.00167181267228429,0.873207605287028
637.7697,6.46963647644346E-13,-121.891204833984,-107.532600402832,0.00167181645982936,0.873209583566781
643.7302,4.75410527239243E-12,-113.229309082031,-98.8707122802734,0.00167182127386719,0.873212097995884
649.6906,4.06449000972013E-12,-113.909942626953,-99.5513381958008,0.00167182913395765,0.873216203414442
655.6511,8.35279934108257E-12,-110.781677246094,-96.4230804443359,0.00167184020164603,0.87322198419947
661.6116,8.4733070495228E-12,-110.719467163086,-96.3608703613281,0.00167185519869879,0.873229817338163
667.572,2.41349664671967E-12,-116.173530578613,-101.814933776855,0.0016718649019991,0.873234885487106
673.5325,5.49065531231463E-12,-112.603759765625,-98.2451629638672,0.00167187194685617,0.873238565099586
679.4929,1.67107147475084E-11,-107.770050048828,-93.4114532470703,0.00167189173445952,0.873248900399718
685.4534,1.00533214087288E-11,-109.976905822754,-95.6183090209961,0.0016719155886019,0.873261359701462
691.4139,3.68249330980082E-12,-114.338577270508,-99.97998046875,0.00167192783074602,0.873267753918666
697.3743,5.55487815290689E-12,-112.553253173828,-98.1946563720703,0.00167193606356967,0.873272054020193
703.3348,2.32514265614251E-12,-116.335502624512,-101.976905822754,0.00167194308669203,0.873275722280373
709.2953,3.82447809291383E-12,-114.174278259277,-99.8156814575195,0.0016719485675069,0.873278584975043
715.2557,4.40491635041932E-12,-113.560623168945,-99.2020263671875,0.00167195590188025,0.873282415805315
721.2162,3.03400214761496E-12,-115.179840087891,-100.821243286133,0.00167196253172138,0.873285878650043
727.1766,2.67037966599067E-12,-115.734268188477,-101.375671386719,0.00167196761566103,0.873288534052075
733.1371,4.09069354645908E-12,-113.882034301758,-99.5234298706055,0.00167197364140179,0.873291681368003
739.0976,7.6466565951705E-12,-111.165283203125,-96.8066864013672,0.00167198410204227,0.873297145084708
745.058,1.02149151886503E-11,-109.907653808594,-95.5490570068359,0.00167200002062736,0.873305459550674
751.0186,4.93808106208841E-12,-113.064414978027,-98.7058181762695,0.00167201352529597,0.873312513199406
756.979,5.86108770221472E-12,-112.320220947266,-97.9616165161133,0.00167202314957693,0.873317540075606
762.9395,5.8835333523651E-12,-112.303619384766,-97.9450225830078,0.0016720336163875,0.87332300701502
768.8999,8.70415087168415E-12,-110.602737426758,-96.244140625,0.00167204661684577,0.873329797308705
774.8604,2.1851493511349E-12,-116.605186462402,-102.246589660645,0.0016720563212601,0.873334866039518
780.8209,6.60146276156108E-12,-111.803596496582,-97.4449996948242,0.00167206415182303,0.873338956035493
786.7813,1.17463626277943E-11,-109.300964355469,-94.9423675537109,0.00167208050298197,0.873347496439914
792.7418,1.53076322749257E-11,-108.150917053223,-93.7923202514648,0.00167210461258673,0.873360089172694
798.7023,1.75220131253203E-11,-107.564163208008,-93.2055587768555,0.00167213386908849,0.873375370190875
804.6627,2.36996884147326E-11,-106.252571105957,-91.8939743041992,0.00167217060316291,0.873394556834025
810.6232,2.31251275787751E-11,-106.359161376953,-92.0005569458008,0.00167221232938618,0.873416350935784
816.5836,3.6578265329202E-11,-104.367767333984,-90.0091705322266,0.00167226553037248,0.873444138442494
822.5441,1.83039003362258E-11,-107.374565124512,-93.0159683227539,0.00167231443372731,0.873469681245265
828.5046,2.77992710471153E-11,-105.559669494629,-91.2010650634766,0.00167235551377857,0.87349113784371
834.465,2.6687728241086E-11,-105.736885070801,-91.378288269043,0.00167240406240889,0.87351649536966
840.4255,1.9739664470156E-11,-107.046600341797,-92.6880035400391,0.00167244542871212,0.873538101480908
846.386,4.4599260824422E-12,-113.506721496582,-99.1481246948242,0.00167246699009992,0.873549363249716
852.3464,3.07297706604004E-11,-105.124404907227,-90.7658081054688,0.00167249834265212,0.873565739059929
858.3069,5.86867394546668E-11,-102.314598083496,-87.9560012817383,0.00167257800638955,0.873607348375696
864.2673,2.17100869243344E-11,-106.63338470459,-92.274787902832,0.00167264963099225,0.873644758755965
870.2278,3.81422306721409E-12,-114.185935974121,-99.8273391723633,0.00167267236966338,0.87365663543383
